sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s13895,300666,AAVYC,2013-03-20,138.1363,-32.74842,,4,12.56,0.042,627,0.071,5.17,1.19,0.28,0.11,5,2.58,4.7,3,109,75.97,11.47,6.2,1.5,Woodland,48
s13896,271414,AAVYC,2013-03-20,138.6038,-33.9142,,10,16.43,0.061,539,0.338,6.47,2.61,0.41,0.19,2,3.93,4.6,5,160,68.19,15.38,8.6,1.5,Woodland,39.000000000000014
s13899,116946,AAUF6,2013-03-21,138.9086,-34.6831,,12,11.2,0.049,350,0.156,4.25,0.75,0.22,0.09,2,2.39,4.9,3,84,81.64,7.16,7.3,1.5,Woodland,44.99999999999999
s13900,172677,AAUF6,2013-03-21,138.7083,-34.88076,,5,4.8,0.06,250,0.155,2.45,0.53,0.22,0.06,3,1.58,4.6,1e-10,86,87.43,7.77,4.1,1.5,Woodland,34.00000000000001
s13901,139485,AAUF6,2013-03-21,138.727,-34.93343,,12,7.01,0.054,507,0.255,2.57,0.86,0.15,0.09,3,1.93,4.4,3,58,87.94,5.04,5.3,2,Woodland,55.00000000000001
s13905,139150,AAUF6,2013-03-24,138.5946,-31.54388,,15,23.04,0.106,596,0.059,9.26,3.56,0.64,0.13,28,2.39,6,9,251,64.33,12.62,9.2,1.5,Shrubland,33.00000000000001
s139068,186191,J9FL8,2019-12-20,116.02238,-32.29387,,2,8.12,0.018,285,0.17,3.06,0.84,0.08,0.1,1e-10,2.43,5,7,47,87.8,4.08,4.8,2.0,Forest,43.99999999999999
s140218,59522,JC328,2020-04-08,138.650709,-35.102142,,4,25.13,0.082,261,0.02,8.43,3.35,0.52,0.35,10,2.66,5.3,3,301,39.12,35.75,8,3.0,Woodland,38.000000000000014
s140220,59897,JC328,2020-04-08,138.650715,-35.101944,,5,22.85,0.071,262,0.2,12.84,3.12,0.57,0.31,11,5.15,4.6,4,297,40.41,36.74,6.6,3.0,Woodland,38.000000000000014
s140222,45215,JC328,2020-04-08,138.650319,-35.101999,,7,25.16,0.095,255,0.03,10.97,4.66,0.6,0.45,14,4.44,5,5,366,33.49,41.36,7.1,3.0,Woodland,38.000000000000014
s140224,145413,JC328,2020-04-08,138.654574,-35.091696,,3,15.09,0.048,334,0.5,2.77,0.97,0.25,0.15,16,2.55,4.3,6,114,78.43,6.49,4.1,2.0,Woodland,30.000000000000004
s140226,145735,JC328,2020-04-08,138.65477,-35.090961,,4,15.79,0.047,336,0.45,3.15,1.18,0.28,0.15,11,2.93,4.3,7,138,75.75,8.45,3.6,2.0,Woodland,30.000000000000004
s140228,158250,JC328,2020-04-08,138.6549204,-35.0906934,,6,15.81,0.054,337,0.53,2.78,0.84,0.19,0.13,16,2.57,4.2,7,85,75.74,8.46,5.5,2.0,Woodland,30.000000000000004
s140232,427343,JC328,2020-04-08,138.659129,-35.085429,,2,12.69,0.062,349,0.08,5.29,1.34,0.6,0.22,22,2.71,4.9,32,278,78.81,8.5,2.5,2.0,Woodland,40.99999999999999
s140234,135800,JC328,2020-04-08,138.659439,-35.085733,,5,16.13,0.053,348,0.28,3.7,0.98,0.51,0.22,18,2.81,4.5,20,251,76.32,7.55,3.7,2.0,Woodland,40.99999999999999
s140236,76994,JC328,2020-04-09,138.658608,-35.081399,,6,22.9,0.079,325,0.25,12.64,6.17,0.65,0.49,12,5.37,4.3,6,331,31.08,46.03,4.8,2.5,Woodland,43.99999999999999
s140238,97874,JC328,2020-04-09,138.658225,-35.081391000000004,,7,28.03,0.111,321,0.03,19.58,7.16,0.68,0.55,27,4.97,5,9,377,34.52,37.45,6.1,3.0,Woodland,43.99999999999999
s140240,68604,JC328,2020-04-09,138.657617,-35.081551,,6,16.23,0.121,317,0.08,15.23,5.82,0.47,0.47,18,4.63,4.5,5,251,59.35,24.42,7.4,2.0,Woodland,43.99999999999999
s140242,42402,JC328,2020-04-09,138.657191,-35.081479,,6,21.1,0.107,311,0.08,9.69,3.42,0.45,0.36,26,4.91,4.6,4,243,60.05,18.86,4.5,2.5,Woodland,43.99999999999999
s140244,51510,JC328,2020-04-09,138.676234,-35.091744,,4,19.68,0.081,252,0.05,9.08,4.11,0.63,0.4,11,4.26,4.9,11,434,42.94,37.38,5.5,3.0,Woodland,43.99999999999999
s140246,48591,JC328,2020-04-09,138.676184,-35.091563,,4,22.96,0.076,254,0.36,4.63,3.17,0.49,0.34,11,3.97,4.5,6,305,39.31,37.74,6.8,3.0,Woodland,43.99999999999999
s140248,54375,JC328,2020-04-10,138.67605,-35.091272,,3,20.82,0.036,257,0.83,3.15,1.5,0.36,0.16,10,3.28,4.1,5,217,47.8,31.38,3.8,3.0,Woodland,43.99999999999999
s140250,152575,JC328,2020-04-10,138.677674,-35.098208,,3,26.53,0.081,272,0.34,7.53,2.82,0.6,0.28,21,5.2,4.1,8,447,44.62,28.86,4.6,3.0,Woodland,31.000000000000007
s140252,1058094,JC328,2020-04-10,138.677728,-35.097955,,3,26.15,0.088,270,0.24,4.32,1.45,0.46,0.22,14,4.71,4.2,7,388,43.22,30.63,4.1,3.0,Woodland,31.000000000000007
s140254,153828,JC328,2020-04-10,138.677626,-35.097955,,4,28.83,0.108,266,0.2,4.94,1.85,0.48,0.33,15,5.04,4.3,11,448,37.79,33.39,6.3,3.0,Woodland,31.000000000000007
s140258,87392,JC328,2020-04-10,138.684929,-35.103062,,3,16.29,0.04,273,0.22,4.35,1.2,0.41,0.12,13,2.58,4.7,3,203,67.32,16.39,2.6,2.5,Woodland,38.000000000000014
s14181,161710,AGEDA,2014-10-15,147.781349,-24.83835,,4,15.93,0.031,860,0.103,4.35,2.05,0.23,0.09,2,1.53,5.1,8,101,79.08,4.99,1.2,2,Woodland,39.000000000000014
s14183,388442,AGEDA,2014-10-15,147.521225,-24.853827,,2,4.91,0.014,738,0.169,1.29,0.33,0.11,0.02,3,0.93,4.8,18,42,92.12,2.98,0.7,1,Woodland,40.000000000000014
s14185,166162,AGEDA,2015-01-29,145.08186,-41.65563,,8,23.05,0.522,16,0.573,14.84,10.79,0.77,1.71,1e-10,5,3.9,62,307,59.59,17.36,50.6,2,Forest,70
s14187,121116,AGEDA,2015-01-31,145.09314,-41.58365,,12,21.58,0.187,244,1.458,2.22,3.36,0.44,0.75,1,5.4,3.4,11,194,56.75,21.67,39.5,1,Shrubland,49
s15823,514499,ANVM7,2014-08-21,152.424374,-28.229765,,80,NA,0.19,1110,3.029,6.34,2.16,0.82,0.12,105,5.78,4.4,31,347,NA,NA,14.3,1.5,Forest,77
s15825,682238,ANVM7,2014-08-21,152.424726,-28.288659,,78,NA,0.168,1120,2.939,6.84,1.79,0.9,0.08,71,5.66,4.2,41,350,NA,NA,16.1,1.5,Forest,37.000000000000014
s15827,538698,ANVM7,2014-08-21,152.426866,-28.227608,,72,NA,0.107,1140,0.464,12.83,3.22,0.92,0.13,24,5.51,4.8,30,366,NA,NA,19.4,1.5,Forest,77
s15829,409463,ANVM7,2014-08-21,152.427209,-28.227565,,57,NA,0.089,1140,0.068,27.73,8.24,1.31,0.21,7,5.22,5.4,136,535,NA,NA,5.5,1.5,Forest,77
s15865,136820,AGEDA,,143.09814,-13.83469,,2,2.9,0.024,NA,0.15,0.99,0.43,0.08,0.09,6,0.99,4.4,3,33,95.13,1.97,1.3,1,,36.00000000000001
s15867,222982,AGEDA,,143.09857,-13.82992,,3,2.96,0.03,NA,0.255,0.79,0.38,0.04,0.1,10,1.14,4.3,3,17,95.03,2.01,1.4,1,,37.000000000000014
s15877,185401,AGEDA,,141.88817,-13.77233,,9,24.15,0.23,NA,3.444,0.41,0.72,0.15,0.19,98,4.6,4,9,65,51.6,24.26,3.8,2,,42.99999999999999
s15879,171114,AGEDA,,141.89049,-13.77007,,15,24.53,0.294,NA,4.327,0.94,0.81,0.18,0.11,162,4.2,3.9,15,69,59.06,16.42,7.7,2.5,,39.000000000000014
s15881,114111,AGEDA,,141.68107,-13.60245,,7,40.36,0.165,NA,5.685,0.3,0.41,0.2,0.15,81,4.31,3.9,14,78,35.36,24.28,11.3,2.5,,40.99999999999999
s15883,132655,AGEDA,,141.6841,-13.60315,,12,40.8,0.059,NA,3.294,0.18,0.23,0.14,0.1,17,3.23,4.1,9,55,51.02,8.18,8.4,2,,39.000000000000014
s15947,92011,AGEDA,2014-10-15,147.40767,-42.40422,,4,6.07,0.04,NA,1.363,0.47,0.35,0.24,0.11,0.5,2.51,3.6,7,104,89.82,4.11,3.6,1.5,,44.99999999999999
s15949,127773,AGEDA,2014-10-15,147.39757,-42.32849,,5,8.16,0.029,NA,1.767,0.89,0.96,0.32,0.11,0.5,3.06,3.3,12,148,87.71,4.13,2.1,1.5,,44.99999999999999
s15955,145826,AGEDA,2014-10-17,147.50573,-42.8223,,2,5.81,0.021,NA,0.035,2.56,0.61,0.15,0.06,0.5,1.16,4.8,4,75,92.22,1.97,1.8,1.5,,43.99999999999999
s15965,148229,AGEDA,2014-10-17,147.45611,-42.54522,,9,7.91,0.031,NA,1.17,0.89,0.71,0.22,0.08,0.5,2.25,3.5,8,104,90.08,2,2.8,1.5,,53
s15969,137452,AGEDA,2014-10-24,147.04742,-42.38784,,4,5.8,0.03,NA,1.222,0.87,0.57,0.27,0.06,0.5,2.3,3.3,6,108,84.36,9.84,1.7,1.5,,32.00000000000001
s15981,134032,AGEDA,2014-11-07,147.20049,-42.55598,,9,25.03,0.054,NA,0.021,24.09,6.61,0.64,0.41,14,4.9,5.1,17,304,51.94,23.04,5.7,2,,38.000000000000014
s15987,129684,AGEDA,2014-11-13,147.01964,-42.40184,,3,12.12,0.023,NA,1.973,0.72,0.58,0.28,0.1,0.5,2.67,4,12,110,87.88,1e-10,2,1.5,,36.00000000000001
s15997,169728,AGEFG,2014-11-13,146.77292,-42.57264,,2,2.99,0.02,NA,1.051,0.68,0.4,0.15,0.05,0.5,1.2,3.7,9,75,92.95,4.06,1.6,1.5,,32.00000000000001
s16001,134378,AGEFG,2014-11-21,147.31891,-41.77754,,6,9.36,0.036,NA,0.729,2.74,0.8,0.15,0.09,0.5,2.74,4.3,3,59,82.27,8.37,3.8,1.5,,49
s19273,182344,AGECM,2014-12-12,138.162344,-35.654969,,6,24.04,0.157,120,0.18,6.93,3.79,0.8,1.23,140,3.7,4.5,10,482,54.01,21.95,22,2,Woodland,32.00000000000001
s19275,316922,AGECM,2014-12-12,138.162904,-35.655037,,1e-10,21.35,0.11,125,0.054,8.48,3.85,0.67,0.74,60,3.5,4.8,7,420,59.33,19.31,11.1,2,Woodland,32.00000000000001
s19277,333298,AGECM,2014-12-12,138.162765,-35.655538,,1e-10,19.53,0.12,118,0.086,8.54,2.91,0.65,0.56,106,3.6,4.8,9,401,63.01,17.46,10.5,2,Woodland,32.00000000000001
s19279,120407,AGECM,2014-12-12,138.16255,-35.655371,,24,26.67,0.193,119,0.139,10.01,5.2,0.8,1.22,68,4.4,4.6,10,450,53.24,20.09,19,2,Woodland,32.00000000000001
s19281,206845,AGECM,2014-12-17,138.654574,-35.091696,,11,16.47,0.06,334,0.176,3.85,1.03,0.42,0.14,9,2.93,4.6,10,244,77.32,6.21,5.2,2,Woodland,30.000000000000004
s19283,232416,AGECM,2014-12-17,138.65477,-35.090961,,12,14.34,0.105,336,0.276,3.68,1.04,0.34,0.28,6,3.27,4.5,12,183,75.35,10.31,4.2,2,Woodland,30.000000000000004
s19285,276580,AGECM,2014-12-17,138.6549204,-35.0906934,,8,16.35,0.062,337,0.287,3.65,1.01,0.35,0.18,8,2.73,4.5,12,179,75.42,8.23,5.3,2,Woodland,30.000000000000004
s19289,347441,AGECM,2014-12-17,138.659129,-35.085429,,5,12.19,0.075,349,0.182,4,1.17,0.39,0.17,14,2.77,4.7,29,201,79.61,8.2,5.1,2,Woodland,40.99999999999999
s19291,182706,AGECM,2014-12-17,138.659439,-35.085733,,8,14.77,0.077,348,0.269,4.49,1.14,0.46,0.13,20,3.57,4.5,14,259,76.73,8.5,5.1,2,Woodland,40.99999999999999
s19299,185418,AGECM,2014-12-17,138.677674,-35.098208,,6,19.42,0.068,272,0.147,8.9,2.57,0.78,0.25,9,4.7,4.5,16,566,54.53,26.04,6.3,2,Woodland,31.000000000000007
s19301,187989,AGECM,2014-12-17,138.677728,-35.097955,,6,24.59,0.044,270,0.164,9.14,3.46,0.75,0.32,12,5,4.6,18,606,46.6,28.81,6.4,2,Woodland,31.000000000000007
s19303,188773,AGECM,2014-12-17,138.677626,-35.097955,,9,26.77,0.056,266,0.262,8.11,2.36,0.63,0.21,1,4.9,4.5,14,473,42.22,31.01,8.4,2,Woodland,31.000000000000007
s19307,192145,AGECM,2014-12-17,138.684929,-35.103062,,14,13.98,0.025,273,0.119,4.5,1.08,0.31,0.12,1,2.27,4.8,7,197,63.88,22.13,4.2,2,Woodland,38.000000000000014
s19311,153737,AGECM,2014-12-17,138.676234,-35.091744,,14,19.51,0.045,252,0.021,15.93,5.9,0.8,0.35,1,4.7,5.5,15,504,43.23,37.25,3.8,2,Woodland,43.99999999999999
s19313,250607,AGECM,2014-12-17,138.676184,-35.091563,,16,22.07,0.04,254,0.091,7.05,3.08,0.61,0.24,1e-10,4.18,5,10,399,41.66,36.27,6.5,2,Woodland,43.99999999999999
s19315,167327,AGECM,2014-12-17,138.67605,-35.091272,,7,25.9,0.025,257,0.784,3.38,1.83,0.42,0.19,2,3.93,4.2,8,271,48.1,26,6.3,2,Woodland,43.99999999999999
s19317,178050,AGECM,2014-12-17,138.650709,-35.102142,,4,23.39,0.058,261,0.031,9.39,3.32,0.77,0.24,3,3.4,5.4,8,466,39.43,37.18,5.1,2,Woodland,38.000000000000014
s19319,162062,AGECM,2014-12-17,138.650715,-35.101944,,8,21.83,0.086,262,0.038,9.33,3.91,0.57,0.38,2,3.83,5.3,8,363,36.29,41.87,6.6,2,Woodland,38.000000000000014
s19321,195467,AGECM,2014-12-17,138.650319,-35.101999,,7,26,0.095,255,0.105,6.91,3.73,0.56,0.34,4,4,4.8,8,393,31.83,42.17,8.9,2,Woodland,38.000000000000014
s19323,120907,AGECM,2014-12-18,138.658608,-35.081399,,6,20.05,0.059,325,0.262,6.62,3.89,0.47,0.44,4,4.1,4.4,8,348,41.66,38.29,6,2,Woodland,43.99999999999999
